Token_ID	Text_Pointer	Token	Tag	Annotation_ID	Multi_Token_Annotation
0	0	Weder	O	none	0
1	6	Magnus	O	none	0
2	13	noch	O	none	0
3	18	Herta	O	none	0
4	24	schliefen	O	none	0
5	34	in	O	none	0
6	37	dieser	O	none	0
7	44	Nacht	O	none	0
8	49	.	O	none	0
9	51	Jenen	O	none	0
10	57	folterte	O	none	0
11	66	gekränkte	O	none	0
12	75	\n                     	O	none	0
13	97	Eitelkeit	O	none	0
14	107	und	O	none	0
15	111	Durst	O	none	0
16	117	nach	O	none	0
17	122	Rache	O	none	0
18	127	,	O	none	0
19	129	diese	O	none	0
20	135	entwarf	O	none	0
21	143	menschenfreundliche	O	none	0
22	163	Pläne	O	none	0
23	169	zum	O	none	0
24	172	\n                     	O	none	0
25	194	Besten	O	none	0
26	201	des	O	none	0
27	205	armen	O	none	0
28	211	leidenden	O	none	0
29	221	Volkes	O	none	0
30	228	und	O	none	0
31	232	ließ	O	none	0
32	237	ihre	O	none	0
33	242	Gedanken	O	none	0
34	251	in	B-Richtung-ALT	2A23F566-785E-4F1A-908E-2281347EBF68	1
35	254	die	O	none	0
36	258	Zukunft	O	none	0
37	265	\n                     	O	none	0
38	287	hinüberschweifen	B-Bewegung-ALT	1679F111-B06D-439F-B950-489545E6EF04	1
39	303	,	O	none	0
40	305	wo	B-Positionierung-ALT	1733D6E7-A63F-45CE-AB51-798DBC001081	1
41	308	ihren	O	none	0
42	314	aufgeregten	O	none	0
43	326	Sinnen	O	none	0
44	333	und	O	none	0
45	337	ihrer	O	none	0
46	343	entzückten	O	none	0
47	354	Phantasie	O	none	0
48	363	\n                     	O	none	0
49	385	das	O	none	0
50	389	strahlende	B-Bewegung-ALT	9A2E7E0F-56BE-4E16-9491-93CE1A103FFB	1
51	400	Bild	O	none	0
52	405	einer	O	none	0
53	411	Welt	B-Ort-Container	4AB427B3-B946-460D-AD81-7C1BD6519B4F	1
54	416	erschien	B-Bewegung-ALT	3EF5E8FD-C453-47DA-9AA1-03CE12FCDAA2	1
55	424	,	O	none	0
56	426	in	B-Positionierung	7389DA4A-2E6E-497A-A8FC-B34E8268BB08	1
57	429	der	O	none	0
58	433	alle	B-Dimensionierung-Menge	DAAADA40-03B5-4061-9E6A-314CBDB041B0	1
59	438	Menschen	O	none	0
60	447	gleichermaßen	O	none	0
61	461	in	B-Positionierung-ALT	618B3DB3-C28B-4652-A4B1-21339E0DDC4D	1
62	463	\n                     	O	none	0
63	485	Glück	O	none	0
64	491	und	O	none	0
65	495	Freiheit	O	none	0
66	504	schwelgten	B-Bewegung-ALT	710527EA-41A5-492F-BAAA-4CDA13F88B7D	1
67	514	.	O	none	0
68	515	\n	O	none	0
69	516	Die	O	none	0
70	520	Drohungen	O	none	0
71	530	ihres	O	none	0
72	536	entarteten	O	none	0
73	547	Vetters	O	none	0
74	555	schreckten	O	none	0
75	566	das	O	none	0
76	570	muthige	O	none	0
77	578	Mädchen	O	none	0
78	586	nicht	O	none	0
79	591	,	O	none	0
80	592	\n                     	O	none	0
81	614	denn	O	none	0
82	619	sie	O	none	0
83	623	lebte	O	none	0
84	629	des	O	none	0
85	633	festen	O	none	0
86	640	Glaubens	O	none	0
87	648	,	O	none	0
88	650	daß	O	none	0
89	654	Lug	O	none	0
90	658	und	O	none	0
91	662	Trug	O	none	0
92	667	an	B-Positionierung-ALT	114A5D50-E48C-4C2F-872C-41B55B9B227B	1
93	670	dem	O	none	0
94	674	silbernen	O	none	0
95	684	Schilde	O	none	0
96	691	\n                     	O	none	0
97	713	der	O	none	0
98	717	Wahrheit	O	none	0
99	726	zerschellen	B-Bewegung-ALT	120C810D-1A91-4A25-BBA4-760A3453E47C	1
100	738	müßten	O	none	0
101	744	.	O	none	0
102	746	Das	O	none	0
103	750	angedrohte	O	none	0
104	761	Rencontre	O	none	0
105	771	vergaß	O	none	0
106	778	 	O	none	0
107	779	sie	O	none	0
108	782	\n                     	O	none	0
109	804	sogar	O	none	0
110	810	vollständig	O	none	0
111	821	,	O	none	0
112	823	weil	O	none	0
113	828	sie	O	none	0
114	832	es	O	none	0
115	835	durchaus	O	none	0
116	844	nicht	O	none	0
117	850	für	O	none	0
118	854	möglich	O	none	0
119	862	hielt	B-Bewegung-ALT	6B511C64-7906-45F7-A595-9388B17B7B03	1
120	867	,	O	none	0
121	869	daß	O	none	0
122	873	ein	O	none	0
123	876	\n                     	O	none	0
124	898	ehrenwerther	O	none	0
125	911	Mann	O	none	0
126	916	im	O	none	0
127	919	Ernst	O	none	0
128	925	einem	O	none	0
129	931	Weibe	O	none	0
130	937	solche	O	none	0
131	944	Zumuthungen	O	none	0
132	956	machen	B-Bewegung-ALT	397DCF80-E49B-40C3-ABD2-E08A631354C0	1
133	963	könne	O	none	0
134	968	.	O	none	0
135	970	Auch	O	none	0
136	974	\n                     	O	none	0
137	996	kannte	O	none	0
138	1003	Herta	O	none	0
139	1009	den	O	none	0
140	1013	abenteuerlichen	O	none	0
141	1029	Charakter	O	none	0
142	1039	ihres	O	none	0
143	1045	Vetters	O	none	0
144	1053	hinlänglich	O	none	0
145	1064	,	O	none	0
146	1066	um	O	none	0
147	1069	in	B-Positionierung-ALT	A5BCCB99-8CED-4E53-8587-4CE28E77444C	1
148	1071	\n                     	O	none	0
149	1093	seinem	O	none	0
150	1100	Vorschlage	O	none	0
151	1111	eben	O	none	0
152	1116	nichts	O	none	0
153	1123	als	O	none	0
154	1127	einen	O	none	0
155	1133	neuen	O	none	0
156	1139	romanesken	O	none	0
157	1150	Auswuchs	O	none	0
158	1159	seiner	O	none	0
159	1165	\n                     	O	none	0
160	1187	mittelalterlichen	O	none	0
161	1205	Ritterlichkeit	O	none	0
162	1220	zu	O	none	0
163	1223	erblicken	B-Bewegung-ALT	115768B5-DBE6-4DE2-8970-190460D479F7	1
164	1232	.	O	none	0
165	1234	Hätte	O	none	0
166	1240	sie	O	none	0
167	1244	wirklich	O	none	0
168	1253	an	O	none	0
169	1256	Ausführung	O	none	0
170	1266	\n                     	O	none	0
171	1288	der	O	none	0
172	1292	Drohung	O	none	0
173	1300	glauben	O	none	0
174	1308	können	O	none	0
175	1314	,	O	none	0
176	1316	dann	O	none	0
177	1321	würde	O	none	0
178	1327	die	O	none	0
179	1331	gegen	B-Richtung	7752E7C5-020B-44AD-969D-54384AB4E389	1
180	1337	ihre	O	none	0
181	1342	schöne	O	none	0
182	1349	Brust	O	none	0
183	1355	gerichtete	B-Bewegung-Subjekt	0A0EDDA9-0D71-43B0-8260-CEEAD48D063F	1
184	1365	\n                     	O	none	0
185	1387	Mündung	O	none	0
186	1395	eines	O	none	0
187	1401	Pistols	O	none	0
188	1409	wahrscheinlich	O	none	0
189	1424	alle	O	none	0
190	1429	schelmischen	O	none	0
191	1442	Träumereien	O	none	0
192	1454	aus	B-Richtung-ALT	BE75C116-F1BE-4C92-83EA-F419FD539429	1
193	1458	ihrer	O	none	0
194	1463	\n                     	O	none	0
195	1485	Seele	O	none	0
196	1491	verscheucht	B-Bewegung-ALT	C520DDBF-AF30-4BD6-B2D2-46F51FC20F1F	1
197	1503	haben	O	none	0
198	1508	.	O	none	0
199	1509	\n	O	none	0
200	1510	Am	O	none	0
201	1513	andern	O	none	0
202	1520	Morgen	O	none	0
